                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.752,                 8.2158,                0.41181,                 2.4415,                 2.2757,                0.02776,                0.54545,                0.04986,                0.01419,                      0,                      0,                      0,                      0,                 2.1759,                0.42901,                 0.0193,                 20.611,                 3.9733,             0.00066416,             0.00066416,             0.00066416
                      1,                 1.5532,                 8.1097,                0.38929,                 1.9718,                 2.0721,                0.03082,                0.36364,                0.02508,                0.01568,                      0,                      0,                      0,                      0,                 2.1098,                0.42582,                0.01985,                 32.478,                 3.7387,              0.0011991,              0.0011991,              0.0011991
                      2,                 1.5041,                 8.0304,                 0.3843,                 1.8964,                 2.0275,                0.01333,                0.27273,                0.01754,                 0.0098,                      0,                      0,                      0,                      0,                 2.0359,                0.41757,                0.02001,                 23.372,                 3.2225,               0.001602,               0.001602,               0.001602
                      3,                 1.4422,                 7.9617,                0.37899,                 1.8596,                 1.9659,                 0.0189,                      1,                0.02061,                0.00658,                      0,                      0,                      0,                      0,                 2.3285,                0.43466,                0.02015,                 24.014,                 4.1525,               0.001406,               0.001406,               0.001406
                      4,                 1.4114,                 7.9096,                0.37653,                 1.8047,                 1.9495,                0.02193,                0.90909,                0.02388,                0.01274,                      0,                      0,                      0,                      0,                 2.1027,                0.41413,                0.01939,                 26.771,                 3.7713,               0.001406,               0.001406,               0.001406
                      5,                 1.3711,                  7.886,                0.37569,                 1.7549,                 1.9068,                0.02433,                0.81818,                0.03637,                0.02418,                      0,                      0,                      0,                      0,                 2.0566,                0.40771,                0.01961,                 27.687,                 3.5177,               0.001208,               0.001208,               0.001208
                      6,                 1.3032,                  7.826,                0.37452,                 1.6787,                 1.8523,                0.01844,                0.90909,                0.02555,                0.01764,                      0,                      0,                      0,                      0,                 2.0047,                 0.4142,                0.01967,                 28.979,                 3.7185,                0.00101,                0.00101,                0.00101
                      7,                 1.2635,                  7.744,                0.37137,                 1.6051,                 1.8058,                0.02028,                      1,                0.02316,                0.01661,                      0,                      0,                      0,                      0,                 2.0171,                0.40366,                0.01938,                 25.668,                 3.7848,               0.000812,               0.000812,               0.000812
                      8,                 1.2081,                 7.7169,                 0.3703,                  1.557,                 1.7647,                0.02088,                      1,                 0.0214,                0.01552,                      0,                      0,                      0,                      0,                 1.9714,                0.39762,                0.01937,                 27.817,                 3.6767,               0.000614,               0.000614,               0.000614
                      9,                 1.1463,                 7.6608,                0.36785,                 1.5042,                 1.7161,                0.02066,                      1,                0.02183,                0.01585,                      0,                      0,                      0,                      0,                 1.9627,                0.40062,                0.01879,                 31.758,                 3.8556,               0.000416,               0.000416,               0.000416
