                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9526,                 8.4917,                0.41411,                 3.0035,                 2.4772,                0.00833,                    0.5,                0.00731,                0.00328,                      0,                      0,                      0,                      0,                 2.8079,                0.36416,                0.01509,                 45.218,                 4.7801,             0.00066026,             0.00066026,             0.00066026
                      1,                 1.5817,                 8.4224,                 0.3597,                 2.0386,                 2.0988,                 0.0044,                      1,                0.00932,                0.00259,                      0,                      0,                      0,                      0,                 2.7562,                0.35565,                0.01408,                 15.094,                 4.6551,              0.0011956,              0.0011956,              0.0011956
                      2,                  1.585,                  8.363,                0.35264,                 2.0186,                 2.0884,                0.01039,                      1,                0.01111,                0.00289,                      0,                      0,                      0,                      0,                 2.9759,                0.35275,                0.01426,                 26.749,                 4.3681,              0.0015989,              0.0015989,              0.0015989
                      3,                 1.5805,                 8.3666,                0.35329,                 1.9787,                 2.0833,                0.00817,                      1,                0.01106,                0.00347,                      0,                      0,                      0,                      0,                 2.7807,                0.36178,                0.01407,                 20.863,                 5.7149,               0.001406,               0.001406,               0.001406
                      4,                 1.5644,                 8.3196,                0.35035,                  1.967,                 2.0744,                0.01561,                   0.25,                0.06633,                 0.0202,                      0,                      0,                      0,                      0,                 2.8994,                0.35469,                0.01416,                 24.992,                 4.6286,               0.001406,               0.001406,               0.001406
                      5,                 1.4807,                 8.2687,                0.34537,                 1.9376,                 2.0034,                0.15233,                    0.5,                 0.3206,                0.13979,                      0,                      0,                      0,                      0,                 2.6214,                0.35431,                0.01668,                 18.996,                 4.4733,               0.001208,               0.001208,               0.001208
                      6,                 1.4547,                 8.2006,                0.34717,                 1.8977,                 1.9646,                0.00938,                   0.75,                0.01108,                0.00503,                      0,                      0,                      0,                      0,                 2.7045,                0.35203,                0.01442,                 24.222,                 4.0029,                0.00101,                0.00101,                0.00101
                      7,                 1.4224,                 8.1326,                0.33646,                 1.8516,                 1.9474,                0.01454,                      1,                0.01777,                0.00716,                      0,                      0,                      0,                      0,                 2.7126,                0.33036,                0.01492,                  22.67,                 4.6471,               0.000812,               0.000812,               0.000812
                      8,                 1.3822,                 8.1315,                0.33812,                 1.8387,                 1.9097,                0.01142,                    0.5,                0.09683,                0.04795,                      0,                      0,                      0,                      0,                 2.5368,                0.33318,                0.01465,                  20.31,                 4.4804,               0.000614,               0.000614,               0.000614
                      9,                  1.329,                  8.078,                0.33796,                 1.7927,                 1.8723,                0.01255,                   0.75,                0.01605,                0.00953,                      0,                      0,                      0,                      0,                  2.474,                0.33004,                0.01488,                 19.753,                 4.0265,               0.000416,               0.000416,               0.000416
