                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.72011,                 5.3323,                0.25906,                 1.1861,                 1.3505,                0.02241,                0.18182,                0.03048,                0.02777,                      0,                      0,                      0,                      0,                 1.8905,                0.24318,                0.01211,                 37.953,                 4.6704,             0.00066416,             0.00066416,             0.00066416
                      1,                0.76781,                 5.4849,                0.26334,                 1.2018,                 1.3869,                0.02396,                0.72727,                0.03173,                0.02515,                      0,                      0,                      0,                      0,                 1.8834,                0.25945,                0.01241,                 37.801,                 4.3323,              0.0011991,              0.0011991,              0.0011991
                      2,                0.80748,                 5.5923,                0.26728,                 1.2259,                 1.4269,                0.03789,                0.75184,                0.06331,                 0.0508,                      0,                      0,                      0,                      0,                 1.8403,                0.24894,                 0.0127,                  39.35,                 4.1203,               0.001602,               0.001602,               0.001602
                      3,                0.82318,                 5.5815,                0.26473,                 1.2232,                 1.4333,                0.02157,                      1,                0.02424,                0.02178,                      0,                      0,                      0,                      0,                 1.8747,                0.26294,                0.01279,                 38.339,                 4.5731,               0.001406,               0.001406,               0.001406
                      4,                0.81076,                  5.584,                0.26417,                 1.2285,                 1.4269,                0.02866,                0.18182,                0.02899,                0.02518,                      0,                      0,                      0,                      0,                 1.8684,                0.25244,                0.01221,                 39.895,                 4.4207,               0.001406,               0.001406,               0.001406
                      5,                 0.7845,                 5.5311,                0.26526,                 1.2215,                 1.4054,                0.02348,                0.81818,                0.02859,                0.02342,                      0,                      0,                      0,                      0,                 1.8697,                0.24811,                0.01235,                 40.161,                 4.5105,               0.001208,               0.001208,               0.001208
                      6,                0.76281,                 5.4744,                0.26406,                 1.1984,                 1.3907,                0.02241,                      1,                0.02311,                0.01963,                      0,                      0,                      0,                      0,                 1.8703,                0.25069,                0.01176,                 40.987,                 4.6527,                0.00101,                0.00101,                0.00101
                      7,                 0.7288,                 5.3616,                0.26112,                 1.1763,                 1.3532,                0.02128,                      1,                0.02449,                0.02006,                      0,                      0,                      0,                      0,                 1.8673,                0.25173,                0.01252,                 38.336,                 4.4218,               0.000812,               0.000812,               0.000812
                      8,                0.73169,                 5.2861,                0.25848,                  1.174,                 1.3543,                0.02156,                      1,                0.02285,                0.02076,                      0,                      0,                      0,                      0,                 1.8311,                0.24942,                0.01261,                 37.677,                 4.5813,               0.000614,               0.000614,               0.000614
                      9,                0.70111,                 5.2225,                0.25699,                 1.1654,                 1.3341,                0.02684,                      1,                0.02702,                0.02352,                      0,                      0,                      0,                      0,                 1.8264,                0.24325,                0.01235,                  41.31,                 4.4304,               0.000416,               0.000416,               0.000416
